variable,value,dates.date,dates.freq
CAER,2771,1953-01-01,a
CAEX,125,1953-01-01,a
CAFU,731,1953-01-01,a
CAGQ,15204,1953-01-01,a
CAGR,398447,1953-01-01,a
CAGS,15241,1953-01-01,a
CGBV,3.8,1953-01-01,a
CGBX,1803,1953-01-01,a
CGBZ,3449,1953-01-01,a
CGCB,14929,1953-01-01,a
CGCE,20,1953-01-01,a
CMVL,1788,1953-01-01,a
CWNE,8.5,1953-01-01,a
CWNH,5.6,1953-01-01,a
DJDS,-37,1953-01-01,a
DMUM,0,1953-01-01,a
DMUN,0,1953-01-01,a
DMUQ,0,1953-01-01,a
DTWL,9075,1953-01-01,a
DTWM,9677,1953-01-01,a
DTWP,602,1953-01-01,a
GDPQ,5.5,1953-01-01,a
GIXM,2,1953-01-01,a
GIXQ,-35,1953-01-01,a
GIXS,54,1953-01-01,a
HAYE,55,1953-01-01,a
HAYO,15108,1953-01-01,a
IHXW,0,1953-01-01,a
IHYA,0.8,1953-01-01,a
IHYB,0.8,1953-01-01,a
IHYC,20,1953-01-01,a
IHYD,20,1953-01-01,a
IHYM,7.4,1953-01-01,a
IHYP,5.6,1953-01-01,a
IHYS,1.7,1953-01-01,a
IKBB,1031,1953-01-01,a
IKBC,894,1953-01-01,a
IKBD,137,1953-01-01,a
IKBE,28241,1953-01-01,a
IKBF,21693,1953-01-01,a
IKBH,3762,1953-01-01,a
IKBI,3868,1953-01-01,a
IKBJ,-106,1953-01-01,a
IKBK,52797,1953-01-01,a
IKBL,46034,1953-01-01,a
IKBM,6763,1953-01-01,a
JJDC,2.6,1953-01-01,a
JJDU,-13.1,1953-01-01,a
KB7D,-10,1953-01-01,a
KB7E,0,1953-01-01,a
KB7F,-10,1953-01-01,a
KB7K,0,1953-01-01,a
KB7L,0,1953-01-01,a
KB7M,7,1953-01-01,a
KB7N,0,1953-01-01,a
KB7O,0,1953-01-01,a
KB7P,0,1953-01-01,a
KB7Q,7,1953-01-01,a
KB7R,-6,1953-01-01,a
KB7S,0,1953-01-01,a
KB7T,-11,1953-01-01,a
KB7U,-1,1953-01-01,a
KB7V,-4,1953-01-01,a
KB7W,0,1953-01-01,a
KB7X,-5,1953-01-01,a
KB7Y,6,1953-01-01,a
KB7Z,-11,1953-01-01,a
KB82,0.2,1953-01-01,a
KB8E,0.1,1953-01-01,a
KB8G,0,1953-01-01,a
KB8H,0,1953-01-01,a
KB8I,0.1,1953-01-01,a
KB8J,0,1953-01-01,a
KB8K,0,1953-01-01,a
KB8L,-0.1,1953-01-01,a
KB8M,0,1953-01-01,a
KB94,0,1953-01-01,a
KG6O,13.6,1953-01-01,a
KG7N,25.5,1953-01-01,a
KG9K,-3.1,1953-01-01,a
KG9L,-3.8,1953-01-01,a
KG9W,7.9,1953-01-01,a
KG9X,4.2,1953-01-01,a
KGI3,5.8,1953-01-01,a
KGL6,7.5,1953-01-01,a
KGM4,1.7,1953-01-01,a
KGM7,5.7,1953-01-01,a
KGV7,5.7,1953-01-01,a
KGW5,6.3,1953-01-01,a
